datetime,	activation,	dropout,	momentum,	minibatch_size,	n_epochs,	learning_rate,	optimizer,	n_layers,	units1,	units2,	units3,	units4,	units5,	units6,	training_r2,	test_r2
2018-03-27 18:12:28,	relu,	0.790275226339,	0.775462608845,	5460,	254,	0.0118613314713,	GradientDescentOptimizer,	4,	8.18261984171,	11.8076662184,	13.4215423849,	3.98140624725,	None,	None,	-0.0156232976642,	-0.0156232976642
2018-03-27 18:12:28,	relu,	0.78985598584,	0.774870734521,	5503,	253,	0.0128151783323,	GradientDescentOptimizer,	4,	8.04822373039,	11.6620377433,	12.7392720343,	4.05145345017,	None,	None,	-0.319637400358,	-0.319637400358
2018-03-27 18:12:28,	relu,	0.786765383552,	0.778912229579,	5564,	256,	0.0121701646335,	GradientDescentOptimizer,	4,	8.09943020792,	11.8126080085,	13.6286622826,	4.06145011605,	None,	None,	-0.0769434148711,	-0.0769434148711
2018-03-27 18:12:28,	relu,	0.780184177437,	0.778711120277,	5582,	253,	0.0122695942913,	GradientDescentOptimizer,	4,	8.22329380035,	11.611193631,	13.552167524,	4.23129150799,	None,	None,	-0.442059966502,	-0.442059966502
2018-03-27 18:12:28,	relu,	0.78878779215,	0.771542170955,	2368,	254,	0.0132512129725,	GradientDescentOptimizer,	4,	8.14228758181,	11.1880451684,	13.4446303972,	4.11444979029,	None,	None,	-0.191364725387,	-0.191364725387
2018-03-27 18:12:28,	relu,	0.784341900681,	0.77160867192,	5353,	253,	0.0123517623818,	GradientDescentOptimizer,	4,	8.104160589,	11.7065974128,	10.6856211292,	5.25531420661,	None,	None,	-0.809643307307,	-0.809643307307
2018-03-27 18:12:28,	relu,	0.734946715716,	0.775039084462,	3976,	263,	0.0104187635675,	GradientDescentOptimizer,	4,	8.19628162756,	11.7180062678,	13.7179580617,	3.98790491218,	None,	None,	-0.962977823611,	-0.962977823611
2018-03-27 18:12:28,	relu,	0.792819162955,	0.777940092861,	5526,	252,	0.0121274724767,	GradientDescentOptimizer,	4,	8.10597438849,	11.6689490564,	13.5244016048,	4.02254863039,	None,	None,	-0.420288156266,	-0.420288156266
2018-03-27 18:12:28,	relu,	0.793312148817,	0.779732041586,	5358,	252,	0.0122755491353,	GradientDescentOptimizer,	4,	8.18340697449,	11.6346348053,	12.2705220343,	4.08790628597,	None,	None,	-0.196202438227,	-0.196202438227
2018-03-27 18:12:28,	relu,	0.792286009697,	0.773183943326,	5305,	250,	0.0122169096576,	GradientDescentOptimizer,	4,	8.20582825549,	11.7020677951,	13.5008111331,	3.99570128984,	None,	None,	-0.624273410761,	-0.624273410761
2018-03-27 18:12:28,	relu,	0.686038948726,	0.779305890518,	3072,	254,	0.0133416995063,	GradientDescentOptimizer,	4,	8.2137713642,	11.7500109983,	13.5076907322,	3.89347475041,	None,	None,	-0.285880707788,	-0.285880707788
2018-03-27 18:12:28,	relu,	0.784929062059,	0.774615599961,	5446,	253,	0.0134526076487,	GradientDescentOptimizer,	4,	8.07488146953,	11.7095268133,	13.6220455928,	4.1273524194,	None,	None,	-0.446319064396,	-0.446319064396
