activation, dropout, momentum, minibatch_size, n_epochs, learning_rate, optimizer, nn_structure, train_r2, test_r2
elu, None, None, 64, 1, 0.001, AdamOptimizer, 4---6, 0.24330335913336998, 0.13920657851088358
elu, None, None, 64, 2, 0.001, AdamOptimizer, 4---6, 0.2564295853451154, 0.13574747183445968
elu, None, None, 64, 3, 0.001, AdamOptimizer, 4---6, 0.2626860905312485, 0.13652700763426673
elu, None, None, 64, 3, 0.001, AdamOptimizer, 4---6, 0.2689785704279216, 0.1410691628918309
elu, None, None, 64, 4, 0.001, AdamOptimizer, 4---6, 0.2746355311001488, 0.1515426432296395
elu, None, None, 64, 5, 0.001, AdamOptimizer, 4---6, 0.2770455416982398, 0.1377142207867048
elu, None, None, 64, 5, 0.001, AdamOptimizer, 4---6, 0.28140314111084785, 0.13773169613645675
elu, None, None, 64, 0, 0.001, AdamOptimizer, 4---3---3, 0.08698853194258538, 0.11555292219216828
elu, None, None, 64, 1, 0.001, AdamOptimizer, 4---3---3, 0.14845822214751192, 0.17754465619347204
elu, None, None, 64, 1, 0.001, AdamOptimizer, 4---3---3, 0.17091984793625403, 0.17911598170316811
elu, None, None, 64, 2, 0.001, AdamOptimizer, 4---3---3, 0.19069638341735595, 0.20005645291469865
elu, None, None, 64, 3, 0.001, AdamOptimizer, 4---3---3, 0.2049511465069993, 0.21105434139384838
elu, None, None, 64, 3, 0.001, AdamOptimizer, 4---3---3, 0.21881621284867958, 0.2067949925693402
elu, None, None, 64, 4, 0.001, AdamOptimizer, 4---3---3, 0.23054335072815546, 0.2205450720261497
elu, None, None, 64, 5, 0.001, AdamOptimizer, 4---3---3, 0.2434342109891583, 0.22109952584284043
elu, None, None, 64, 5, 0.001, AdamOptimizer, 4---3---3, 0.25224786293634793, 0.22149313244605506
elu, None, None, 64, 6, 0.001, AdamOptimizer, 4---3---3, 0.2617813564759819, 0.21016931278769724
elu, None, None, 64, 7, 0.001, AdamOptimizer, 4---3---3, 0.27000175680414973, 0.21139156342909082
elu, None, None, 64, 7, 0.001, AdamOptimizer, 4---3---3, 0.2815247616901335, 0.21149053617984426
elu, None, None, 64, 8, 0.001, AdamOptimizer, 4---3---3, 0.29096006305206656, 0.20737516404695144
elu, None, None, 64, 8, 0.001, AdamOptimizer, 4---3---3, 0.29944921598335383, 0.21736853570435666
elu, None, None, 64, 0, 0.001, AdamOptimizer, 3---3---3, 0.0710729892296289, 0.042926276584862255
elu, None, None, 64, 1, 0.001, AdamOptimizer, 3---3---3, 0.11936482418290428, 0.07811330408775641
elu, None, None, 64, 1, 0.001, AdamOptimizer, 3---3---3, 0.14562767165416102, 0.11925929792214485
elu, None, None, 64, 2, 0.001, AdamOptimizer, 3---3---3, 0.16942828594222226, 0.13152036601337924
elu, None, None, 64, 3, 0.001, AdamOptimizer, 3---3---3, 0.18314557184064384, 0.15333921727733646
elu, None, None, 64, 3, 0.001, AdamOptimizer, 3---3---3, 0.20024489581818594, 0.17204221589938185
elu, None, None, 64, 4, 0.001, AdamOptimizer, 3---3---3, 0.212502728961951, 0.18032264798294717
elu, None, None, 64, 5, 0.001, AdamOptimizer, 3---3---3, 0.22221047984713915, 0.1935411404688343
elu, None, None, 64, 5, 0.001, AdamOptimizer, 3---3---3, 0.23218469759324956, 0.19392977550365909
elu, None, None, 64, 6, 0.001, AdamOptimizer, 3---3---3, 0.2392417751519279, 0.19990719362879605
elu, None, None, 64, 7, 0.001, AdamOptimizer, 3---3---3, 0.2455983851128437, 0.20569737244997177
elu, None, None, 64, 7, 0.001, AdamOptimizer, 3---3---3, 0.2510955613125495, 0.20922246754262452
elu, None, None, 64, 8, 0.001, AdamOptimizer, 3---3---3, 0.25574035488657465, 0.21488745418076305
elu, None, None, 64, 8, 0.001, AdamOptimizer, 3---3---3, 0.260997586788568, 0.2133719365320117
